fua_code,fua_name,slope,slope_degrees,mean_annual_change_pct,p_value
ES021L2,Alicante/Alacant,0.0034,0.2,2.8904,0.0
ES022L2,Vigo,0.0046,0.26,0.6375,0.0
ES023L2,GijÃ³n,0.0069,0.4,0.8338,0.0
ES025L3,Santa Cruz de Tenerife,0.0011,0.06,-1.2218,0.8
ES026L2,CoruÃ±a (A),0.0048,0.28,0.6612,0.0
ES028L1,Reus,0.0056,0.32,1.8639,0.0
ES031L1,Lugo,0.0051,0.29,0.3665,0.0
ES033L1,Girona,0.0045,0.26,0.8523,0.0
ES034L1,CÃ¡ceres,0.005,0.28,1.2246,0.02
ES035L1,Torrevieja,0.0015,0.09,1.4147,0.05
ES039L1,AvilÃ©s,0.0071,0.41,0.7769,0.0
ES040L1,Talavera de la Reina,0.0064,0.37,1.7933,0.0
ES041L1,Palencia,0.0047,0.27,1.413,0.0
ES043L1,Ferrol,0.0049,0.28,0.6303,0.0
ES044L1,Pontevedra,0.0048,0.28,0.7015,0.0
ES046L1,Gandia,0.0047,0.27,1.3565,0.0
ES048L1,Guadalajara,0.0041,0.23,1.344,0.0
ES050L1,Manresa,0.0068,0.39,1.5643,0.0
ES053L1,Ciudad Real,0.0043,0.25,1.2987,0.0
ES054L1,Benidorm,0.004,0.23,2.1295,0.0
ES057L1,Ponferrada,0.0057,0.32,0.9317,0.0
ES059L1,Zamora,0.0047,0.27,1.2307,0.0
ES070L1,Irun,0.0058,0.33,0.4221,0.0
ES072L1,Arrecife,0.0018,0.1,-1.0222,0.29
ES501L3,Granada,0.004,0.23,1.1746,0.0
ES505L1,Elche/Elx,0.002,0.12,1.9244,0.05
ES506L1,Cartagena,0.0016,0.09,1.4246,0.13
ES508L1,Jerez de la Frontera,0.0028,0.16,0.5748,0.05
ES510L1,Donostia-San SebastiÃ¡n,0.0052,0.3,0.3806,0.0
ES514L1,AlmerÃ­a,0.0029,0.17,1.695,0.0
ES515L1,Burgos,0.0038,0.22,1.297,0.01
ES516L1,Salamanca,0.0041,0.24,1.2333,0.0
ES519L1,Albacete,0.0029,0.17,1.3633,0.0
ES520L1,CastellÃ³n/CastellÃ³,0.0062,0.35,2.3011,0.0
ES521L1,Huelva,0.0043,0.25,1.1178,0.0
ES522L1,CÃ¡diz,0.0033,0.19,1.0634,0.01
ES523L1,LeÃ³n,0.0054,0.31,1.0097,0.0
ES525L1,Tarragona,0.0048,0.28,2.0751,0.0
ES527L1,JaÃ©n,0.0041,0.23,1.2977,0.0
ES528L1,Lleida,0.0035,0.2,0.8306,0.0
ES529L1,Ourense,0.0062,0.36,0.9318,0.0
ES532L1,Algeciras,0.0051,0.29,0.7175,0.0
ES533L1,Marbella,0.0051,0.29,1.1789,0.0
ES537L1,Alcoy,0.0051,0.29,2.3893,0.0
ES538L1,Ãvila,0.0048,0.28,1.2715,0.0
ES542L1,Cuenca,0.0052,0.3,1.439,0.0
ES543L1,Eivissa,0.0074,0.43,1.9908,0.0
ES544L1,Linares,0.0047,0.27,1.4516,0.0
ES545L1,Lorca,0.0025,0.14,1.8271,0.04
ES546L1,MÃ©rida,0.0042,0.24,1.3099,0.01
ES547L1,Sagunto,0.0036,0.21,1.5505,0.0
ES550L1,Puerto de la Cruz,0.0028,0.16,-1.0539,0.54
ES552L1,Igualada,0.0073,0.42,1.9919,0.0
FI001L3,Helsinki,0.0,0.0,-0.2187,0.98
FI002L3,Tampere,0.0032,0.18,0.2412,0.07
FI003L4,Turku,0.0027,0.15,0.561,0.03
FI004L4,Oulu,0.0029,0.17,0.0401,0.07
FI007L2,Lahti,-0.0,-0.0,-0.2197,0.99
FI008L2,Kuopio,0.001,0.06,-0.1093,0.52
FI009L2,JyvÃ¤skylÃ¤,0.0019,0.11,-0.065,0.29
FR001L1,Paris,0.0031,0.18,0.138,0.02
FR003L2,Lyon,0.0034,0.2,0.1408,0.01
FR004L2,Toulouse,0.005,0.29,0.4979,0.0
FR006L2,Strasbourg,0.001,0.06,-0.3158,0.44
FR007L2,Bordeaux,0.0038,0.22,0.4655,0.01
FR008L2,Nantes,0.0034,0.2,0.3999,0.01
FR009L2,Lille,0.002,0.12,-0.2378,0.11
FR010L2,Montpellier,0.0049,0.28,0.6864,0.0
FR011L2,Saint-Etienne,0.0053,0.3,0.2864,0.0
FR012L2,Le Havre,0.0007,0.04,-0.1231,0.53
FR013L2,Rennes,0.0035,0.2,0.2628,0.01
FR014L2,Amiens,0.0011,0.07,-0.4156,0.48
FR016L2,Nancy,0.0015,0.09,-0.3031,0.31
FR017L2,Metz,0.001,0.06,-0.438,0.5
FR018L2,Reims,0.0032,0.18,-0.1464,0.0
FR019L2,OrlÃ©ans,0.002,0.11,0.6148,0.25
FR020L2,Dijon,0.003,0.17,-0.1273,0.03
FR021L2,Poitiers,0.003,0.17,0.6172,0.01
FR022L2,Clermont-Ferrand,0.0024,0.14,-0.1,0.08
FR023L2,Caen,0.0026,0.15,0.0174,0.13
FR024L2,Limoges,0.0031,0.18,0.5429,0.01
FR025L2,BesanÃ§on,0.0036,0.21,0.2468,0.0
FR026L2,Grenoble,0.0043,0.25,0.2502,0.0
FR027L2,Ajaccio,0.0058,0.33,0.6416,0.0
FR032L2,Toulon,0.0054,0.31,0.5429,0.0
FR034L2,Valenciennes,0.0018,0.1,-0.3023,0.22
FR035L2,Tours,0.0026,0.15,0.3498,0.03
FR036L2,Angers,0.0042,0.24,0.686,0.0
FR037L2,Brest,0.0044,0.25,0.2396,0.0
FR038L2,Le Mans,0.0029,0.17,0.088,0.03
FR039L1,Avignon,0.0043,0.25,0.8044,0.0
FR040L2,Mulhouse,0.0034,0.19,0.1358,0.01
FR042L2,Dunkerque,0.0017,0.1,-0.3369,0.15
FR043L2,Perpignan,0.0059,0.34,0.9759,0.0
FR044L2,NÃ®mes,0.0052,0.3,0.8565,0.0
FR045L2,Pau,0.0046,0.27,0.3172,0.0
FR046L2,Bayonne,0.0051,0.29,0.1777,0.0
FR047L0,Annemasse,0.004,0.23,0.2461,0.0
FR048L2,Annecy,0.004,0.23,0.2604,0.0
FR049L2,Lorient,0.0039,0.22,0.5705,0.0
FR050L2,MontbÃ©liard,0.0031,0.18,-0.0481,0.0
FR051L2,Troyes,0.003,0.17,0.04,0.04
FR052L2,Saint-Nazaire,0.0033,0.19,0.3864,0.02
FR053L2,La Rochelle,0.0024,0.14,1.3444,0.18
FR056L2,AngoulÃªme,0.0026,0.15,0.6786,0.04
FR057L2,Boulogne-sur-Mer,0.0014,0.08,0.0316,0.12
FR058L2,ChambÃ©ry,0.0038,0.22,0.2542,0.0
FR059L2,Chalon-sur-SaÃ´ne,0.0033,0.19,-0.049,0.02
FR060L2,Chartres,0.0012,0.07,0.8029,0.64
FR061L2,Niort,0.0036,0.21,1.0289,0.01
FR062L2,Calais,0.0012,0.07,-0.0439,0.32
FR063L2,BÃ©ziers,0.0049,0.28,1.0552,0.0
FR064L2,Arras,0.0011,0.06,-0.4306,0.51
FR065L2,Bourges,0.0011,0.06,-0.0226,0.45
FR066L2,Saint-Brieuc,0.003,0.17,0.3649,0.01
FR067L2,Quimper,0.0042,0.24,0.3787,0.0
FR068L2,Vannes,0.0035,0.2,0.5021,0.02
FR069L2,Cherbourg,0.002,0.11,0.2014,0.03
FR073L2,Tarbes,0.005,0.28,0.5472,0.01
FR074L2,CompiÃ¨gne,0.0032,0.18,-0.3758,0.09
FR076L2,Belfort,0.0029,0.17,-0.114,0.01
FR077L2,Roanne,0.0047,0.27,-0.1307,0.03
FR079L2,Saint-Quentin,0.0023,0.13,-0.2174,0.11
FR082L2,Beauvais,0.0007,0.04,-0.3122,0.65
FR084L2,Creil,0.0031,0.18,-0.2548,0.12
FR086L2,Evreux,0.0018,0.11,0.9666,0.44
FR090L2,ChÃ¢teauroux,0.0012,0.07,0.1608,0.53
FR093L2,Brive-la-Gaillarde,0.004,0.23,0.3346,0.0
FR096L2,Albi,0.0061,0.35,0.2658,0.0
FR099L2,FrÃ©jus,0.006,0.34,0.6032,0.0
FR104L2,ChÃ¢lons-en-Champagne,0.003,0.17,0.1866,0.04
FR203L2,Marseille,0.0051,0.29,0.7166,0.0
FR205L2,Nice,0.0051,0.29,0.381,0.0
FR207L2,Lens - LiÃ©vin,0.0027,0.16,-0.056,0.04
FR208L1,HÃ©nin - Carvin,0.0028,0.16,-0.0621,0.13
FR209L2,Douai,0.0024,0.14,-0.0014,0.18
FR214L1,Valence,0.0032,0.18,0.0464,0.02
FR215L2,Rouen,0.0005,0.03,0.0366,0.71
FR304L1,Melun,0.0042,0.24,-0.1449,0.02
FR324L1,Martigues,0.0031,0.18,0.9899,0.0
FR505L1,Charleville-MÃ©ziÃ¨res,0.001,0.06,-0.356,0.52
FR506L1,Colmar,0.0035,0.2,0.1029,0.01
FR519L1,Cannes,0.0046,0.27,0.5048,0.0
