fua_code,fua_name,Year,kernel_mean
DE081L1,Passau,2000,66.35463052551195
DE082L0,Dessau-RoÃlau,2000,62.44389316233886
DE083L1,Braunschweig-Salzgitter-Wolfsburg,2000,67.26429435023977
DE084L1,Mannheim-Ludwigshafen,2000,67.99265172665714
DE504L1,MÃ¼nster,2000,77.30887528461872
DE505L0,Chemnitz,2000,56.94401694904534
DE507L1,Aachen,2000,79.94372439275641
DE508L0,Krefeld,2000,68.56208632876097
DE510L1,LÃ¼beck,2000,66.32494872060116
DE513L1,Kassel,2000,75.61642338560397
DE516L0,Solingen,2000,80.1831762725398
DE517L1,OsnabrÃ¼ck,2000,68.84387689505301
DE520L1,Oldenburg (Oldenburg),2000,75.49819354881578
DE522L1,Heidelberg,2000,76.6999349148491
DE523L1,Paderborn,2000,77.56854559746287
DE524L2,WÃ¼rzburg,2000,68.45657042117367
DE527L1,Bremerhaven,2000,75.76247030650978
DE529L1,Heilbronn,2000,72.14530243025614
DE530L0,Remscheid,2000,81.10100438698218
DE532L1,Ulm,2000,82.75706001993554
DE533L1,Pforzheim,2000,80.98460973794613
DE534L1,Ingolstadt,2000,78.36285979428656
DE535L1,Gera,2000,64.80454387816783
DE537L1,Reutlingen,2000,85.29500039220646
DE539L1,Cottbus,2000,58.21578414393215
DE540L2,Siegen,2000,79.71470460238397
DE542L1,Hildesheim,2000,73.50169837761194
DE544L1,Zwickau,2000,63.72803293872252
DE546L0,Wuppertal,2000,79.26047577822891
DE547L2,Jena,2000,69.4009161478105
DE548L1,DÃ¼ren,2000,70.37682882340857
DE549L1,Bocholt,2000,75.41772554198228
DK001L2,KÃ¸benhavn,2000,77.53184907836396
DK002L3,Ãrhus,2000,56.14910860902577
DK003L2,Odense,2000,61.799053367704836
DK004L3,Aalborg,2000,77.1697968857987
EE001L1,Tallinn,2000,68.79751942411347
EE002L1,Tartu,2000,66.15422807998421
EE003L0,Narva,2000,40.91052607845289
EL001L1,Athina,2000,41.33715786116484
EL002L1,Thessaloniki,2000,19.19441772356253
EL003L1,Patra,2000,37.480655722862636
EL004L1,Irakleio,2000,36.04164651773158
EL005L1,Larisa,2000,19.33993050042528
EL006L1,Volos,2000,32.44955344896823
EL007L1,Ioannina,2000,54.68622629102465
EL008L1,Kavala,2000,37.62872558624533
EL009L1,Kalamata,2000,62.261943706803834
ES001L3,Madrid,2000,39.19772161066327
ES002L2,Barcelona,2000,43.15671540844696
ES003L3,Valencia,2000,35.93282032042767
ES004L3,Sevilla,2000,38.05956936650097
ES005L2,Zaragoza,2000,17.70992349609151
ES006L2,MÃ¡laga,2000,40.23609776942972
ES007L2,Murcia,2000,27.861667826553532
ES009L2,Valladolid,2000,19.70673651388216
ES010L2,Palma de Mallorca,2000,31.51221665425647
ES011L2,Santiago de Compostela,2000,72.66213212496115
ES012L2,Vitoria/Gasteiz,2000,54.396574444256494
ES013L2,Oviedo,2000,62.45360145150972
ES014L3,Pamplona/IruÃ±a,2000,61.05794029905501
ES015L2,Santander,2000,76.25578488511655
ES016L2,Toledo,2000,18.6580475214399
ES017L2,Badajoz,2000,35.456534691463894
ES018L2,LogroÃ±o,2000,17.743669898199098
ES019L3,Bilbao,2000,74.52194579832512
ES020L2,CÃ³rdoba,2000,31.86614024122475
ES021L2,Alicante/Alacant,2000,6.2593292937259095
ES022L2,Vigo,2000,57.3610625664917
ES023L2,GijÃ³n,2000,61.75738456171188
ES026L2,CoruÃ±a (A),2000,65.09316323624877
ES028L1,Reus,2000,26.178082310507328
ES031L1,Lugo,2000,72.54806774713047
ES033L1,Girona,2000,66.06993939822826
ES034L1,CÃ¡ceres,2000,40.91429961011328
ES035L1,Torrevieja,2000,16.07498181444539
ES039L1,AvilÃ©s,2000,59.37059711927264
ES040L1,Talavera de la Reina,2000,39.29720317179083
ES041L1,Palencia,2000,20.742559293069
ES043L1,Ferrol,2000,68.1849154698512
ES044L1,Pontevedra,2000,61.73761472258346
ES046L1,Gandia,2000,58.11643635755112
ES048L1,Guadalajara,2000,28.27970592274393
ES050L1,Manresa,2000,40.14830346644297
ES053L1,Ciudad Real,2000,25.376558375923082
ES054L1,Benidorm,2000,24.93473027421993
ES057L1,Ponferrada,2000,66.08341040555734
ES059L1,Zamora,2000,18.35841639615105
ES070L1,Irun,2000,68.57479307750233
ES501L3,Granada,2000,35.086324602658145
ES505L1,Elche/Elx,2000,14.298256998926789
ES506L1,Cartagena,2000,32.89323652938228
ES508L1,Jerez de la Frontera,2000,44.36910345195834
ES510L1,Donostia-San SebastiÃ¡n,2000,72.82642521490082
ES514L1,AlmerÃ­a,2000,6.173053655918849
ES515L1,Burgos,2000,28.768147078960958
ES516L1,Salamanca,2000,18.7332371846799
ES519L1,Albacete,2000,18.24161201006319
ES520L1,CastellÃ³n/CastellÃ³,2000,40.50089783967307
ES521L1,Huelva,2000,36.45387151363535
