fua_code,Year,Gini
BA001L1,2014,
BA001L1,2015,
BA001L1,2016,
BA001L1,2017,
BA001L1,2018,
BA001L1,2019,
BA001L1,2020,
BA002L1,2000,0.29579
BA002L1,2001,0.45222
BA002L1,2002,0.19745
BA002L1,2003,0.30583
BA002L1,2004,0.27432
BA002L1,2005,0.32616
BA002L1,2006,0.33088
BA002L1,2007,0.26584
BA002L1,2008,0.34328
BA002L1,2009,0.26923
BA002L1,2010,0.36658
BA002L1,2011,0.30363
BA002L1,2014,0.23451
BA002L1,2015,0.31151
BA002L1,2016,0.27062
BA002L1,2017,0.30843
BA002L1,2018,0.30726
BA002L1,2019,0.28927
BA002L1,2020,0.2813
BA003L1,2000,
BA003L1,2001,
BA003L1,2002,
BA003L1,2003,
BA003L1,2004,
BA003L1,2005,
BA003L1,2006,
BA003L1,2007,
BA003L1,2008,
BA003L1,2009,
BA003L1,2010,
BA003L1,2011,
BA003L1,2014,
BA003L1,2015,
BA003L1,2016,
BA003L1,2017,
BA003L1,2018,
BA003L1,2019,
BA003L1,2020,
BA004L1,2000,
BA004L1,2001,
BA004L1,2002,
BA004L1,2003,
BA004L1,2004,
BA004L1,2005,
BA004L1,2006,
BA004L1,2007,
BA004L1,2008,
BA004L1,2009,
BA004L1,2010,
BA004L1,2011,
BA004L1,2014,
BA004L1,2015,
BA004L1,2016,
BA004L1,2017,
BA004L1,2018,
BA004L1,2019,
BA004L1,2020,
BA005L1,2000,
BA005L1,2001,
BA005L1,2002,
BA005L1,2003,
BA005L1,2004,
BA005L1,2005,
BA005L1,2006,
BA005L1,2007,
BA005L1,2008,
BA005L1,2009,
BA005L1,2010,
BA005L1,2011,
BA005L1,2014,
BA005L1,2015,
BA005L1,2016,
BA005L1,2017,
BA005L1,2018,
BA005L1,2019,
BA005L1,2020,
BE001L2,2000,0.25409
BE001L2,2001,0.26312
BE001L2,2002,0.28995
BE001L2,2003,0.27564
BE001L2,2004,0.2527
BE001L2,2005,0.25294
BE001L2,2006,0.25963
BE001L2,2007,0.26982
BE001L2,2008,0.26679
BE001L2,2009,0.2755
BE001L2,2010,0.26686
BE001L2,2011,0.28073
BE001L2,2014,0.25419
BE001L2,2015,0.25001
BE001L2,2016,0.23657
BE001L2,2017,0.24218
BE001L2,2018,0.25517
BE001L2,2019,0.25072
BE001L2,2020,0.25001
BE002L2,2000,0.27871
BE002L2,2001,0.30429
BE002L2,2002,0.34429
BE002L2,2003,0.30742
BE002L2,2004,0.31172
BE002L2,2005,0.30864
BE002L2,2006,0.31698
BE002L2,2007,0.31093
BE002L2,2008,0.30057
BE002L2,2009,0.31517
BE002L2,2010,0.31555
BE002L2,2011,0.31971
BE002L2,2014,0.30504
BE002L2,2015,0.30496
BE002L2,2016,0.30861
BE002L2,2017,0.30691
BE002L2,2018,0.3279
BE002L2,2019,0.31578
BE002L2,2020,0.3217
BE003L2,2000,0.22031
BE003L2,2001,0.2374
BE003L2,2002,0.28113
BE003L2,2003,0.23548
BE003L2,2004,0.2372
BE003L2,2005,0.24575
BE003L2,2006,0.24767
BE003L2,2007,0.23545
BE003L2,2008,0.23545
BE003L2,2009,0.25186
BE003L2,2010,0.25906
BE003L2,2011,0.2686
BE003L2,2014,0.23205
BE003L2,2015,0.24157
BE003L2,2016,0.2347
BE003L2,2017,0.2352
BE003L2,2018,0.2529
BE003L2,2019,0.24427
BE003L2,2020,0.24369
BE004L2,2000,0.22979
BE004L2,2001,0.27924
BE004L2,2002,0.3196
BE004L2,2003,0.28495
BE004L2,2004,0.26154
BE004L2,2005,0.26067
BE004L2,2006,0.26886
BE004L2,2007,0.2531
BE004L2,2008,0.26966
BE004L2,2009,0.27199
BE004L2,2010,0.2644
BE004L2,2011,0.26203
BE004L2,2014,0.23323
BE004L2,2015,0.23863
BE004L2,2016,0.24594
BE004L2,2017,0.2363
BE004L2,2018,0.24389
BE004L2,2019,0.23149
BE004L2,2020,0.25001
BE005L2,2000,0.2969
BE005L2,2001,0.35779
BE005L2,2002,0.39079
BE005L2,2003,0.33389
BE005L2,2004,0.30414
BE005L2,2005,0.31856
BE005L2,2006,0.29972
BE005L2,2007,0.33224
BE005L2,2008,0.31575
BE005L2,2009,0.2964
BE005L2,2010,0.3169
BE005L2,2011,0.32169
BE005L2,2014,0.28253
BE005L2,2015,0.29196
BE005L2,2016,0.28141
BE005L2,2017,0.29243
BE005L2,2018,0.31065
BE005L2,2019,0.30073
BE005L2,2020,0.30378
BE006L2,2000,0.25023
BE006L2,2001,0.29566
BE006L2,2002,0.31023
BE006L2,2003,0.26793
BE006L2,2004,0.26472
BE006L2,2005,0.23824
BE006L2,2006,0.27865
BE006L2,2007,0.2528
BE006L2,2008,0.28627
BE006L2,2009,0.28219
BE006L2,2010,0.28936
BE006L2,2011,0.28091
BE006L2,2014,0.25954
BE006L2,2015,0.24894
BE006L2,2016,0.25829
BE006L2,2017,0.25973
BE006L2,2018,0.28445
BE006L2,2019,0.27716
BE006L2,2020,0.26691
BE007L2,2000,0.22491
BE007L2,2001,0.28874
BE007L2,2002,0.32374
BE007L2,2003,0.25655
BE007L2,2004,0.25043
BE007L2,2005,0.25309
BE007L2,2006,0.25222
BE007L2,2007,0.25383
BE007L2,2008,0.27006
BE007L2,2009,0.25022
BE007L2,2010,0.27288
BE007L2,2011,0.29611
BE007L2,2014,0.23533
BE007L2,2015,0.25787
BE007L2,2016,0.23617
BE007L2,2017,0.25157
BE007L2,2018,0.27845
BE007L2,2019,0.25574
BE007L2,2020,0.27697
BE008L1,2000,0.20377
BE008L1,2001,0.23401
BE008L1,2002,0.23359
BE008L1,2003,0.23934
BE008L1,2004,0.21844
BE008L1,2005,0.21556
BE008L1,2006,0.24151
BE008L1,2007,0.21085
BE008L1,2008,0.23326
BE008L1,2009,0.21377
BE008L1,2010,0.21862
BE008L1,2011,0.29859
BE008L1,2014,0.19334
BE008L1,2015,0.20291
BE008L1,2016,0.18502
BE008L1,2017,0.19219
BE008L1,2018,0.21174
BE008L1,2019,0.18774
BE008L1,2020,0.21156
BE009L1,2000,0.17059
BE009L1,2001,0.20807
BE009L1,2002,0.27781
BE009L1,2003,0.22003
BE009L1,2004,0.20741
BE009L1,2005,0.18482
BE009L1,2006,0.19496
BE009L1,2007,0.17825
BE009L1,2008,0.18665
BE009L1,2009,0.2209
BE009L1,2010,0.19817
BE009L1,2011,0.20969
BE009L1,2014,0.18111
BE009L1,2015,0.17919
BE009L1,2016,0.17034
BE009L1,2017,0.17984
BE009L1,2018,0.19194
BE009L1,2019,0.19553
BE009L1,2020,0.19776
BE010L1,2000,0.28078
BE010L1,2001,0.28202
BE010L1,2002,0.37593
BE010L1,2003,0.32954
BE010L1,2004,0.2769
BE010L1,2005,0.26573
BE010L1,2006,0.27755
BE010L1,2007,0.29336
BE010L1,2008,0.31506
BE010L1,2009,0.35141
BE010L1,2010,0.31477
BE010L1,2011,0.29765
BE010L1,2014,0.24433
BE010L1,2015,0.24364
BE010L1,2016,0.23038
BE010L1,2017,0.24397
BE010L1,2018,0.28038
BE010L1,2019,0.27715
BE010L1,2020,0.26746
BE011L1,2000,0.28561
BE011L1,2001,0.30161
BE011L1,2002,0.31231
BE011L1,2003,0.28187
BE011L1,2004,0.29227
BE011L1,2005,0.27541
BE011L1,2006,0.30425
BE011L1,2007,0.27274
BE011L1,2008,0.30802
BE011L1,2009,0.29986
BE011L1,2010,0.31157
BE011L1,2011,0.29022
BE011L1,2014,0.27212
BE011L1,2015,0.2888
BE011L1,2016,0.26264
BE011L1,2017,0.2838
BE011L1,2018,0.28143
BE011L1,2019,0.29701
BE011L1,2020,0.28534
BG001L2,2000,0.4439
BG001L2,2001,0.33958
BG001L2,2002,0.86477
BG001L2,2003,0.37263
BG001L2,2004,0.35542
BG001L2,2005,0.24922
BG001L2,2006,0.32365
BG001L2,2007,0.34965
BG001L2,2008,0.33067
BG001L2,2009,0.33173
BG001L2,2010,0.33937
BG001L2,2011,0.50069
BG001L2,2014,0.27986
BG001L2,2015,0.33076
BG001L2,2016,0.28607
BG001L2,2017,0.31511
BG001L2,2018,0.28646
BG001L2,2019,0.40931
BG001L2,2020,0.2802
BG002L2,2000,0.51874
BG002L2,2001,0.43051
BG002L2,2002,0.63033
BG002L2,2003,0.42139
BG002L2,2004,0.47596
BG002L2,2005,0.36095
BG002L2,2006,0.34069
BG002L2,2007,0.31491
BG002L2,2008,0.36756
BG002L2,2009,0.35883
BG002L2,2010,0.31816
BG002L2,2011,0.36435
BG002L2,2014,0.2814
BG002L2,2015,0.29459
BG002L2,2016,0.30156
BG002L2,2017,0.31861
BG002L2,2018,0.28262
BG002L2,2019,0.27429
BG002L2,2020,0.3204
BG003L2,2000,0.44972
BG003L2,2001,0.61006
BG003L2,2002,0.46617
BG003L2,2003,0.39609
BG003L2,2004,0.37042
BG003L2,2005,0.45481
BG003L2,2006,0.44919
BG003L2,2007,0.58296
BG003L2,2008,0.49996
BG003L2,2009,0.43912
BG003L2,2010,0.39823
BG003L2,2011,0.47617
BG003L2,2014,0.36769
BG003L2,2015,0.35837
BG003L2,2016,0.37149
BG003L2,2017,0.36651
BG003L2,2018,0.35927
BG003L2,2019,0.40234
BG003L2,2020,0.40822
BG004L2,2000,0.51682
BG004L2,2001,0.61772
BG004L2,2002,0.4946
BG004L2,2003,0.52241
BG004L2,2004,0.31612
BG004L2,2005,0.32532
BG004L2,2006,0.36159
BG004L2,2007,0.53665
BG004L2,2008,0.37587
BG004L2,2009,0.40566
BG004L2,2010,0.29194
BG004L2,2011,0.48705
BG004L2,2014,0.2893
BG004L2,2015,0.30487
BG004L2,2016,0.31765
BG004L2,2017,0.30861
BG004L2,2018,0.30441
BG004L2,2019,0.29472
BG004L2,2020,0.3234
BG005L1,2000,0.47723
BG005L1,2001,0.4951
BG005L1,2002,0.61641
BG005L1,2003,0.36176
BG005L1,2004,0.37329
BG005L1,2005,0.27766
BG005L1,2006,0.2799
BG005L1,2007,0.48686
BG005L1,2008,0.32819
BG005L1,2009,0.26473
BG005L1,2010,0.29141
BG005L1,2011,0.29641
BG005L1,2014,0.19326
BG005L1,2015,0.21655
BG005L1,2016,0.21316
BG005L1,2017,0.21068
BG005L1,2018,0.21951
BG005L1,2019,0.28034
BG005L1,2020,0.27166
BG006L2,2000,0.51038
BG006L2,2001,0.52642
BG006L2,2002,0.69544
BG006L2,2003,0.46532
BG006L2,2004,0.37587
BG006L2,2005,0.43178
BG006L2,2006,0.42784
BG006L2,2007,0.46216
BG006L2,2008,0.45181
BG006L2,2009,0.40357
BG006L2,2010,0.42429
BG006L2,2011,0.33404
BG006L2,2014,0.28125
BG006L2,2015,0.29725
BG006L2,2016,0.32083
BG006L2,2017,0.30122
BG006L2,2018,0.29224
BG006L2,2019,0.34247
BG006L2,2020,0.30601
BG007L2,2000,0.53388
BG007L2,2001,0.49695
BG007L2,2002,0.8125
BG007L2,2003,0.33407
BG007L2,2004,0.26305
BG007L2,2005,0.19402
BG007L2,2006,0.28217
BG007L2,2007,0.54959
BG007L2,2008,0.19858
BG007L2,2009,0.21527
BG007L2,2010,0.3433
BG007L2,2011,0.42339
BG007L2,2014,0.1762
BG007L2,2015,0.22667
BG007L2,2016,0.19512
BG007L2,2017,0.24729
BG007L2,2018,0.21507
BG007L2,2019,0.2383
BG007L2,2020,0.22494
BG008L2,2000,0.52237
BG008L2,2001,0.55598
BG008L2,2002,0.5958
BG008L2,2003,0.46302
BG008L2,2004,0.29412
BG008L2,2005,0.31921
BG008L2,2006,0.41132
BG008L2,2007,0.36621
BG008L2,2008,0.31579
