fua_code,mean_annual_change_pct,p_value,slope,slope_degrees
IT027L2,-1.2558,0.0,-0.97,-44.07
IT028L3,-2.0164,0.0,-0.43,-23.24
IT029L3,-1.7204,0.0,-0.38,-20.87
IT030L3,-1.2904,0.0,-0.38,-20.61
IT031L3,-1.2986,0.0,-0.75,-36.85
IT032L3,-0.4378,0.0,-0.32,-17.55
IT033L2,-0.6122,0.0,-0.51,-26.9
IT034L1,-0.5238,0.0,-0.19,-10.49
IT035L2,-0.8306,0.0,-0.29,-16.31
IT036L2,-0.5358,0.0,-0.2,-11.24
IT037L1,-1.9134,0.0,-0.67,-34.01
IT038L1,-0.9672,0.0,-0.65,-33.02
IT039L2,-0.4123,0.0,-0.37,-20.47
IT040L2,-0.9474,0.0,-0.26,-14.45
IT041L2,-1.2586,0.0,-0.42,-22.6
IT042L1,-0.1656,0.0,-0.27,-15.05
IT043L2,-0.3037,0.01,-0.16,-9.08
IT045L2,-1.2243,0.0,-0.41,-22.37
IT046L2,-1.279,0.0,-0.32,-17.94
IT047L1,-1.289,0.0,-0.42,-22.76
IT048L2,-0.9381,0.0,-0.36,-19.82
IT052L1,-0.7462,0.0,-0.62,-31.99
IT054L1,-2.0936,0.0,-1.01,-45.31
IT056L1,-0.2985,0.01,-0.09,-5.33
IT057L2,-0.6669,0.15,-0.7,-34.9
IT058L2,-0.2857,0.0,-0.24,-13.35
IT060L1,-1.2236,0.0,-0.41,-22.28
IT061L0,-0.8377,0.0,-0.53,-27.86
IT064L1,-0.8982,0.0,-0.49,-26.2
IT065L0,-0.4565,0.0,-0.46,-24.75
IT066L1,-0.9274,0.0,-0.34,-18.78
IT067L0,-0.6454,0.0,-0.46,-24.53
IT068L1,-0.4712,0.0,-0.22,-12.15
IT069L1,-0.6626,0.01,-0.41,-22.37
IT073L1,-1.1309,0.0,-0.36,-19.83
IT501L2,-0.5967,0.0,-0.31,-17.02
IT502L2,-1.0755,0.0,-0.51,-27.0
IT503L3,-0.316,0.01,-0.25,-13.89
IT504L3,-0.9295,0.0,-0.55,-28.69
IT505L3,-1.0566,0.0,-0.3,-16.88
IT506L2,-1.4105,0.0,-0.49,-25.94
IT507L2,-1.9728,0.0,-0.45,-24.42
IT508L3,-0.602,0.03,-0.21,-11.6
IT509L3,-0.7064,0.0,-0.31,-17.36
IT511L2,-1.5453,0.0,-0.34,-18.62
IT512L3,-1.0148,0.0,-0.33,-18.02
IT513L3,-1.0554,0.0,-0.57,-29.58
IT514L2,-1.2569,0.0,-0.46,-24.73
IT515L2,-0.8723,0.0,-0.62,-31.63
IT516L2,-0.5272,0.0,-0.39,-21.18
IT518L1,-0.3647,0.04,-0.21,-11.86
IT519L1,-0.8282,0.0,-0.37,-20.52
IT520L1,-1.1507,0.0,-0.82,-39.21
IT521L1,-1.1144,0.0,-0.55,-28.95
IT522L1,-0.9208,0.0,-0.43,-23.41
IT523L1,-0.4151,0.0,-0.31,-17.26
IT524L0,-1.1847,0.0,-0.93,-42.87
IT525L0,-0.5428,0.01,-0.27,-15.35
IT526L1,0.129,0.01,-0.25,-14.12
LT001L1,-0.402,0.63,0.06,3.35
LT002L1,0.5684,0.6,0.08,4.39
LT003L1,-0.1044,0.45,-0.08,-4.34
LT004L0,0.3231,0.62,-0.08,-4.68
LT501L0,0.0514,0.97,-0.0,-0.2
LT502L0,-0.146,0.45,-0.14,-7.93
LU001L1,0.2134,0.06,-0.18,-10.04
LV001L1,0.553,0.11,0.26,14.62
LV002L2,-0.3832,0.95,0.01,0.53
LV003L1,1.1519,0.06,0.24,13.61
LV501L1,1.3178,0.96,0.01,0.67
ME001L1,-1.4288,0.0,-0.81,-38.99
MK001L1,-0.9054,0.0,-1.02,-45.56
MK003L1,-1.3471,0.01,-0.65,-32.95
MK004L1,-0.2326,0.03,-0.24,-13.23
MK005L1,-1.4879,0.0,-0.88,-41.23
MT001L1,-0.1984,0.08,-0.14,-7.95
NL001L3,-0.5389,0.0,-0.24,-13.74
NL002L3,-0.4674,0.01,-0.18,-10.3
NL003L3,-0.3039,0.01,-0.16,-9.24
NL004L3,-0.1901,0.1,-0.18,-10.01
NL005L3,1.007,0.57,-0.04,-2.3
NL006L3,0.4214,0.58,-0.05,-2.58
NL007L3,0.6016,0.13,-0.2,-11.36
NL008L3,1.7019,0.56,-0.07,-4.2
NL009L3,0.8262,0.28,-0.11,-6.34
NL010L3,0.5699,0.07,-0.14,-8.2
NL012L3,-0.2013,0.08,-0.18,-10.16
NL013L3,1.4759,0.97,0.0,0.18
NL014L3,1.5816,0.68,-0.05,-3.04
NL015L3,0.3552,0.21,-0.06,-3.57
NL016L3,0.5894,0.09,-0.1,-5.77
NL020L3,0.7137,0.3,-0.09,-5.35
NL026L0,0.1823,0.2,-0.11,-6.37
NL028L3,1.637,0.26,0.09,5.34
NL030L0,0.1751,0.35,-0.06,-3.16
NL032L3,1.5711,0.22,0.07,4.14
NL503L3,0.6935,0.43,-0.04,-2.15
NL504L3,-0.288,0.01,-0.3,-16.8
NL505L3,0.8226,0.78,-0.02,-1.01
NL507L3,-0.2907,0.03,-0.14,-7.81
NL511L3,2.2542,0.85,0.02,1.05
NL512L3,0.8709,0.33,-0.11,-6.27
NL513L3,1.8069,0.59,-0.08,-4.33
NL514L3,-0.6036,0.0,-0.15,-8.26
NL515L3,1.3215,0.83,-0.02,-0.91
NL519L3,2.2935,0.52,-0.08,-4.8
NL520L3,-1.1662,0.01,-0.31,-17.38
NL521L3,1.6924,0.68,-0.03,-1.71
NL522L3,0.5541,0.05,-0.43,-23.18
NL524L3,0.6333,0.15,-0.14,-7.86
NL529L3,-1.4622,0.02,-0.21,-11.84
NO001L1,-1.5412,0.78,-0.02,-1.29
NO002L1,-2.2005,0.04,-0.21,-11.62
NO003L1,-1.5001,0.75,0.04,2.4
NO004L1,-0.256,0.06,-0.24,-13.23
NO005L1,1.1163,0.79,0.02,1.25
NO006L1,-1.3079,0.04,-0.26,-14.44
PL001L2,0.1872,0.94,-0.01,-0.57
PL002L2,-0.1135,0.67,-0.06,-3.51
PL003L2,1.3611,0.6,0.11,5.99
PL004L2,-0.2864,0.06,-0.63,-32.22
PL005L2,0.221,0.01,-0.54,-28.28
PL006L2,-0.2952,0.88,0.01,0.55
PL007L2,-0.067,0.22,-0.12,-6.8
PL008L2,-0.8147,0.01,-0.54,-28.46
PL009L2,0.929,0.25,-0.23,-12.74
PL010L2,0.5876,0.23,-0.4,-21.62
PL011L2,-0.1405,0.08,-0.33,-18.39
PL012L2,0.7414,0.86,0.02,1.39
PL013L2,-1.0427,0.02,-0.35,-19.5
PL014L2,-0.4216,0.34,0.07,4.06
PL015L2,2.3947,0.26,0.14,7.75
PL016L2,-0.2083,0.42,-0.08,-4.4
PL017L2,-0.9414,0.07,-0.24,-13.46
PL018L2,1.0068,0.09,0.15,8.8
PL019L2,0.6775,0.86,-0.02,-1.29
PL020L2,1.5364,0.76,-0.03,-1.53
PL021L2,-0.7969,0.49,-0.11,-6.53
PL022L2,-0.2974,0.18,-0.18,-10.13
PL024L2,0.3674,0.24,-0.27,-14.89
PL025L2,-0.196,0.3,-0.14,-7.93
PL026L2,-0.5531,0.33,-0.17,-9.78
PL027L2,0.3505,0.87,0.03,1.43
PL028L2,-1.0509,0.51,-0.07,-3.94
PL029L1,-0.2762,0.51,0.07,3.95
