fua_code,mean_annual_change_pct,p_value,slope,slope_degrees
DE020L1,0.1172,0.02,-0.19,-10.69
DE021L1,0.5614,0.3,-0.23,-13.17
DE025L1,-0.3229,0.04,-0.18,-9.95
DE026L1,0.7951,0.01,-0.5,-26.71
DE027L1,-0.1296,0.04,-0.18,-10.46
DE028L1,-0.2449,0.02,-0.24,-13.5
DE029L0,-1.9508,0.0,-0.53,-28.13
DE030L1,-0.3089,0.02,-0.36,-19.78
DE031L1,-0.6685,0.01,-0.2,-11.35
DE032L1,-0.637,0.02,-0.56,-29.16
DE033L1,1.4,0.26,-0.22,-12.15
DE034L1,0.3475,0.04,-0.16,-9.05
DE035L1,0.8081,0.05,-0.21,-11.99
DE036L0,0.6874,0.08,-0.15,-8.53
DE037L1,-0.415,0.0,-0.27,-14.85
DE038L1,0.7078,0.3,-0.1,-5.97
DE039L1,0.0834,0.07,-0.11,-6.32
DE040L1,0.7655,0.02,-0.58,-30.03
DE042L1,0.3487,0.07,-0.33,-18.07
DE043L2,-0.4669,0.0,-0.19,-10.76
DE044L1,1.5692,0.18,-0.12,-6.89
DE045L1,0.7924,0.54,-0.07,-4.11
DE048L1,0.3768,0.74,-0.06,-3.21
DE050L1,1.0187,0.16,-0.14,-8.23
DE051L1,0.8814,0.81,0.01,0.72
DE052L1,-0.0717,0.06,-0.19,-11.02
DE053L1,0.5254,0.41,-0.1,-5.85
DE054L1,0.8564,0.72,-0.03,-1.62
DE055L0,-0.0909,0.05,-0.15,-8.62
DE056L0,-1.0733,0.01,-0.63,-32.05
DE057L1,0.6206,0.07,-0.26,-14.59
DE058L1,-0.217,0.22,-0.17,-9.44
DE059L1,0.6089,0.31,-0.15,-8.45
DE060L1,-0.406,0.09,-0.28,-15.84
DE061L1,0.5184,0.18,-0.17,-9.87
DE062L1,0.4878,0.18,-0.26,-14.46
DE063L1,0.6577,0.06,-0.36,-19.57
DE064L1,-1.0899,0.01,-0.43,-23.23
DE065L1,0.8851,0.66,-0.07,-4.28
DE066L1,1.1243,0.74,-0.06,-3.25
DE067L1,0.4337,0.56,-0.07,-4.06
DE069L1,0.3447,0.67,-0.05,-2.75
DE071L1,-0.7611,0.03,-0.3,-16.83
DE072L1,1.0049,0.98,0.0,0.1
DE073L1,0.0222,0.02,-0.21,-11.81
DE074L1,-0.5244,0.01,-0.22,-12.42
DE077L1,0.4251,0.21,-0.26,-14.37
DE078L1,-1.022,0.01,-0.36,-19.69
DE079L1,0.1783,0.14,-0.16,-9.34
DE081L1,0.0466,0.32,-0.08,-4.5
DE082L0,-1.3041,0.0,-0.72,-35.88
DE083L1,-0.0073,0.06,-0.25,-13.82
DE084L1,0.7748,0.04,-0.29,-16.39
DE504L1,0.9569,0.59,-0.06,-3.4
DE505L0,-0.5661,0.02,-0.28,-15.41
DE507L1,0.638,0.08,-0.17,-9.5
DE508L0,0.8004,0.29,-0.08,-4.67
DE510L1,0.1654,0.11,-0.08,-4.49
DE513L1,0.4094,0.41,-0.24,-13.73
DE516L0,0.8625,0.31,-0.07,-3.89
DE517L1,-0.0956,0.14,-0.36,-19.9
DE520L1,0.4984,0.28,-0.15,-8.59
DE522L1,0.6866,0.03,-0.29,-16.43
DE523L1,-0.1154,0.15,-0.19,-10.88
DE524L2,0.3762,0.19,-0.27,-15.05
DE527L1,0.2498,0.79,-0.03,-1.47
DE529L1,1.0874,0.48,-0.08,-4.35
DE530L0,1.2043,0.74,0.02,1.04
DE532L1,1.1087,0.26,-0.17,-9.53
DE533L1,1.4706,0.21,-0.12,-7.06
DE534L1,1.1139,0.4,-0.1,-5.89
DE535L1,-0.3982,0.0,-0.45,-24.28
DE537L1,0.628,0.25,-0.06,-3.41
DE539L1,-1.3392,0.0,-0.28,-15.4
DE540L2,-0.2768,0.66,-0.04,-2.31
DE542L1,-0.557,0.05,-0.27,-14.92
DE544L1,0.3425,0.01,-0.32,-17.9
DE546L0,0.7944,0.72,-0.02,-1.27
DE547L2,-0.2978,0.01,-0.3,-16.63
DE548L1,0.7046,0.03,-0.17,-9.49
DE549L1,1.3976,0.73,-0.04,-2.07
DK001L2,0.3456,0.18,0.09,5.07
DK002L3,-0.3654,0.12,-0.08,-4.56
DK003L2,-0.2172,0.03,-0.16,-8.82
DK004L3,-0.1756,0.18,-0.09,-4.93
EE001L1,-0.3599,0.68,-0.07,-4.13
EE002L1,-0.0817,0.91,0.02,1.15
EE003L0,-0.9205,0.19,-0.28,-15.46
EL001L1,-0.9247,0.0,-0.64,-32.62
EL002L1,-0.9949,0.0,-0.98,-44.29
EL003L1,-0.36,0.0,-0.29,-16.05
EL004L1,-0.1274,0.15,-0.12,-6.84
EL005L1,-1.5129,0.0,-1.45,-55.32
EL006L1,-0.3998,0.0,-0.53,-27.78
EL007L1,-0.323,0.0,-0.2,-11.4
EL008L1,-0.7169,0.46,-0.09,-4.95
EL009L1,0.8947,0.0,0.32,17.82
ES001L3,-1.1047,0.0,-0.61,-31.51
ES002L2,-1.0046,0.0,-0.72,-35.77
ES003L3,-1.1228,0.0,-0.54,-28.51
ES004L3,-0.8335,0.0,-0.48,-25.7
ES005L2,-1.1818,0.0,-0.57,-29.88
ES006L2,-0.8228,0.0,-0.44,-23.62
ES007L2,-1.6036,0.04,-0.31,-17.12
ES008L2,-0.7156,0.13,-0.22,-12.32
ES009L2,-1.5423,0.0,-1.06,-46.57
ES010L2,-1.0056,0.0,-0.62,-31.6
ES011L2,0.4109,0.35,0.06,3.34
ES012L2,-1.2066,0.0,-0.77,-37.75
ES013L2,0.0828,0.05,-0.27,-14.91
ES014L3,-0.8209,0.0,-0.41,-22.41
ES015L2,-0.3173,0.0,-0.28,-15.85
ES016L2,-1.444,0.0,-0.74,-36.65
ES017L2,-1.2653,0.0,-0.92,-42.47
ES018L2,-1.897,0.0,-0.82,-39.29
ES019L3,-0.6582,0.0,-0.45,-24.02
ES020L2,-1.3362,0.0,-0.77,-37.63
ES021L2,-1.9951,0.0,-0.84,-40.06
ES022L2,0.0672,0.97,-0.0,-0.13
ES023L2,-0.0553,0.01,-0.35,-19.14
ES025L3,1.4294,0.2,0.26,14.37
ES026L2,-0.182,0.72,-0.02,-1.1
ES028L1,-0.5232,0.01,-0.25,-13.81
ES031L1,0.2424,0.77,0.03,1.72
ES033L1,-0.9772,0.0,-0.34,-18.75
ES034L1,-1.2114,0.0,-0.82,-39.23
ES035L1,-1.5081,0.0,-0.68,-34.02
ES039L1,-0.8518,0.0,-0.65,-32.96
ES040L1,-0.9082,0.0,-0.48,-25.54
ES041L1,-0.6116,0.01,-0.34,-18.72
ES043L1,-0.0899,0.65,0.04,2.13
ES044L1,0.4843,0.0,0.21,11.7
ES046L1,0.1547,0.4,0.05,3.15
ES048L1,-1.044,0.0,-0.66,-33.28
ES050L1,-0.1741,0.05,-0.19,-10.88
ES053L1,-1.0594,0.0,-0.74,-36.38
ES054L1,-1.0484,0.0,-0.35,-19.15
ES057L1,-0.5772,0.0,-0.22,-12.52
ES059L1,-1.5764,0.0,-1.02,-45.7
ES070L1,-0.5213,0.0,-0.43,-23.44
ES072L1,0.0571,0.52,-0.13,-7.58
ES501L3,-0.8556,0.0,-0.59,-30.72
ES505L1,-1.6644,0.0,-0.57,-29.48
ES506L1,-0.8871,0.13,-0.24,-13.46
ES508L1,-0.929,0.0,-0.49,-26.12
ES510L1,-0.4626,0.0,-0.35,-19.41
ES514L1,-2.0302,0.0,-1.25,-51.29
ES515L1,-0.6803,0.0,-0.5,-26.74
ES516L1,-0.8791,0.0,-0.76,-37.09
ES519L1,-1.5199,0.0,-0.79,-38.19
ES520L1,-0.0883,0.4,0.07,3.91
ES521L1,-0.6182,0.0,-0.39,-21.53
ES522L1,-0.861,0.0,-0.56,-29.3
ES523L1,-0.7829,0.0,-0.42,-22.72
ES525L1,-0.5427,0.0,-0.29,-16.13
ES527L1,0.0304,0.67,-0.04,-2.13
ES528L1,-0.6582,0.05,-0.21,-11.99
ES529L1,-1.1345,0.02,-0.29,-16.4
ES532L1,-0.693,0.0,-0.4,-21.57
ES533L1,-0.1563,0.08,-0.08,-4.68
ES537L1,-0.5504,0.0,-0.28,-15.57
ES538L1,-0.9238,0.0,-0.62,-31.97
ES542L1,-1.8698,0.0,-1.12,-48.33
ES543L1,-1.1732,0.0,-0.55,-28.96
ES544L1,-0.4945,0.01,-0.32,-17.54
ES545L1,-2.079,0.02,-0.55,-28.74
ES546L1,-2.2489,0.0,-1.28,-51.92
ES547L1,-0.0359,0.01,0.24,13.73
ES550L1,1.1862,0.43,-0.22,-12.52
ES552L1,-1.0718,0.0,-0.62,-31.75
FI001L3,0.5856,0.52,0.08,4.32
FI002L3,-0.4963,0.55,-0.05,-3.07
FI003L4,-0.6983,0.71,-0.05,-2.66
FI004L4,0.9592,0.14,-0.26,-14.5
FI007L2,1.2154,0.09,0.1,5.89
FI008L2,2.0357,0.06,0.16,9.33
FI009L2,1.3786,0.35,0.09,5.31
FR001L1,-0.2134,0.02,-0.34,-18.96
FR003L2,-0.4537,0.0,-0.24,-13.65
FR004L2,-1.2918,0.0,-0.78,-38.13
FR006L2,-0.192,0.0,-0.24,-13.41
FR007L2,-0.7408,0.0,-0.42,-22.96
FR008L2,-1.0976,0.0,-0.48,-25.81
FR009L2,-0.5532,0.0,-0.36,-20.01
FR010L2,-0.7462,0.0,-0.32,-17.64
FR011L2,-1.2573,0.0,-0.36,-19.87
FR012L2,-0.5646,0.0,-0.44,-23.54
FR013L2,-1.6197,0.0,-0.77,-37.74
FR014L2,-0.5202,0.02,-0.43,-23.24
FR016L2,-0.4234,0.0,-0.76,-37.21
FR017L2,0.261,0.0,-0.66,-33.32
FR018L2,0.0322,0.01,-0.67,-33.9
FR019L2,-1.2845,0.12,-0.48,-25.75
FR020L2,-0.8045,0.0,-0.81,-39.03
FR021L2,-1.7663,0.0,-0.64,-32.67
